,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
321,Nurota,90,UZ,1546641000,93,40.56,65.69,3.0,2.1
322,Tooele,1,US,1546641300,68,40.53,-112.3,-2.2,1.51
323,Jackville,12,CI,1546641000,83,5.21,-4.42,29.0,1.5
324,Coihaique,20,CL,1546639200,48,-45.58,-72.07,19.0,3.1
325,Gamba,0,CN,1546641057,19,28.28,88.52,-31.02,1.01
326,Kununurra,8,AU,1546641000,88,-15.77,128.74,25.0,2.6
327,Buloh Kasap,75,MY,1546639200,88,2.55,102.76,25.0,1.0
328,Aksarka,0,RU,1546642944,55,66.56,67.8,-23.72,2.31
329,Juba,90,EE,1546642200,100,57.82,26.93,-4.0,3.01
330,Marrakesh,0,MA,1546641000,43,31.63,-7.99,10.0,1.0
331,Leningradskiy,24,RU,1546641161,90,69.38,178.42,-26.07,2.96
332,Port-Cartier,90,CA,1546639200,92,50.03,-66.88,-8.0,1.5
333,Dera Ghazi Khan,0,PK,1546642945,93,30.03,70.64,10.43,5.91
334,Tanete,36,ID,1546642946,80,-3.94,119.78,27.48,1.71
335,Mandalgovi,56,MN,1546642946,64,45.76,106.27,-24.02,3.31
336,Padang,40,ID,1546639200,94,-0.92,100.36,24.0,2.1
337,Le Mans,90,FR,1546641000,82,48.01,0.2,0.0,1.26
338,Oussouye,0,SN,1546639200,68,12.49,-16.54,21.0,2.1
339,Leiyang,92,CN,1546642947,100,26.42,112.85,3.08,2.36
340,Dom Pedrito,0,BR,1546642947,66,-30.98,-54.67,18.91,4.71
341,Cambridge,90,GB,1546640400,85,52.2,0.12,5.0,2.1
342,East London,8,ZA,1546640985,91,-33.02,27.91,22.95,6.21
343,Haverfordwest,8,GB,1546638600,86,51.8,-4.97,4.0,0.5
344,Kruisfontein,8,ZA,1546641100,88,-34.0,24.73,19.18,8.66
345,Kaseda,75,JP,1546639200,76,31.42,130.32,10.0,2.6
346,High River,20,CA,1546639200,28,50.58,-113.86,8.0,12.3
347,Hanumangarh,88,IN,1546642949,78,29.58,74.33,10.48,4.41
348,Dumbrava Rosie,0,RO,1546641000,79,46.88,26.43,-5.0,2.6
349,Ararangua,92,BR,1546642949,97,-28.93,-49.49,22.68,3.66
350,Kabare,36,RW,1546642949,100,-1.65,29.38,13.66,1.21
351,Boca do Acre,12,BR,1546642949,89,-8.76,-67.39,25.76,0.91
352,Mapiripan,20,CO,1546642950,59,2.89,-72.13,27.98,2.21
353,Ricardo Palma,0,PE,1546639200,69,-11.92,-76.67,25.0,6.2
354,Launceston,0,AU,1546639200,58,-41.43,147.14,14.0,4.1
355,Brae,92,GB,1546640400,87,60.4,-1.35,9.0,6.2
356,Albert Lea,1,US,1546642380,75,43.65,-93.37,7.0,1.5
357,Arman,0,RU,1546642951,0,59.7,150.17,-41.42,1.16
358,Alice Town,0,BS,1546642831,96,25.72,-79.3,25.51,6.66
